player,position,1,2,3,4,5,6,7,8,9,10,11
Louis Nix,DT,Knee,Healthy,Healthy,,,,,,,,
Lucas Niang,OT,,Knee,Knee,Healthy,,,,,,,
Lukas Van Ness,LB,Healthy,,,,,,,,,,
Luke Bowanko,C,Healthy,Healthy,Hip,Healthy,Healthy,Healthy,,,,,
Luke Falk,QB,Wrist,Healthy,,,,,,,,,
Luke Farrell,TE,Healthy,Healthy,Healthy,,,,,,,,
Luke Fortner,C,Healthy,Healthy,,,,,,,,,
Luke Goedeke,OT,Healthy,Healthy,,,,,,,,,
Luke Joeckel,OT,Ankle,Healthy,Healthy,Knee,Healthy,,,,,,
Luke Musgrave,TE,Kidney,,,,,,,,,,
Luke Schoonmaker,TE,Healthy,,,,,,,,,,
Luke Tenuta,OT,Healthy,Ankle,,,,,,,,,
Luke Wattenberg,C,Healthy,Healthy,,,,,,,,,
Luke Willson,TE,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Luke Wypler,C,Healthy,,,,,,,,,,
Lynn Bowden,WR,Healthy,Hamstring,Healthy,Healthy,,,,,,,
M.J. Stewart,DB,Healthy,Healthy,Healthy,Hamstring,Healthy,Shoulder,,,,,
Mac Jones,QB,Healthy,Healthy,Healthy,,,,,,,,
Mack Hollins,WR,Healthy,Groin,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Mack Wilson,LB,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Mackensie Alexander,DB,Undisclosed,Healthy,Healthy,Knee,Healthy,Healthy,Groin,,,,
Malachi Dupre,WR,Healthy,Healthy,Healthy,,,,,,,,
Malaesala Aumavae-Laulu,OT,Healthy,,,,,,,,,,
Malcolm Johnson,RB,Groin,Healthy,,Undisclosed,Shoulder,,,,,,
Malcolm Koonce,DE,Healthy,Healthy,Healthy,,,,,,,,
Malcolm Mitchell,WR,Healthy,Knee,,,,,,,,,
Malcolm Perry,RB,Healthy,Foot,,,,,,,,,
Malcolm Rodriguez,LB,Healthy,Healthy,,,,,,,,,
Malcom Brown,DT,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Maliek Collins,DT,Healthy,Healthy,Healthy,Healthy,Undisclosed,Healthy,Healthy,Healthy,,,
Malik Harrison,LB,Healthy,Healthy,Healthy,Healthy,,,,,,,
Malik Hooker,DB,Knee,Healthy,Healthy,Achilles,Healthy,Healthy,Healthy,,,,
Malik Jefferson,LB,Foot,Healthy,Shoulder,Healthy,Healthy,Healthy,,,,,
Malik McDowell,DT,,,,,Healthy,,,,,,
Malik Willis,QB,Healthy,Healthy,,,,,,,,,
Malliciah Goodman,DE,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Manti Te'o,LB,Healthy,Healthy,Healthy,Achilles,Healthy,Healthy,Healthy,Healthy,,,
Marc Anthony,DB,Healthy,Healthy,Healthy,,,,,,,,
Marcell Ateman,WR,Healthy,Healthy,,Healthy,Healthy,,,,,,
Marcell Harris,DB,Achilles,Healthy,Healthy,Healthy,Healthy,,,,,,
Marco Wilson,DB,Healthy,Healthy,Healthy,,,,,,,,
Marcus Allen,LB,Healthy,Healthy,Healthy,Healthy,Biceps,,,,,,
Marcus Cooper,DB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Marcus Davenport,LB,Healthy,Foot,Healthy,Shoulder,Healthy,Ankle,,,,,
Marcus Epps,DB,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Marcus Green,WR,Healthy,,,,,,,,,,
Marcus Hardison,DT,Healthy,Shoulder,Healthy,Healthy,,,,,,,
Marcus Jones,DB,Healthy,Shoulder,,,,,,,,,
Marcus Lattimore,RB,Healthy,,,,,,,,,,
Marcus Mariota,QB,Healthy,Leg,Healthy,Healthy,Healthy,Pectoral,Quadriceps,Knee,Healthy,,
Marcus Martin,C,Healthy,Healthy,Ankle,Healthy,Toe,Healthy,Healthy,Undisclosed,,,
Marcus Maye,DB,Healthy,Shoulder,Healthy,Healthy,Achilles,Healthy,Shoulder,,,,
Marcus McKethan,OG,,Healthy,,,,,,,,,
Marcus Murphy,RB,Ankle,Healthy,Healthy,Elbow,Healthy,,,,,,
Marcus Peters,DB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,Healthy,Healthy,,
Marcus Smith,DE,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,
Marcus Williams,DB,Healthy,Healthy,Healthy,Healthy,Healthy,Wrist,Healthy,,,,
Margus Hunt,DE,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Mario Alford,WR,Healthy,Ankle,Healthy,,,,,,,,
Mario Edwards Jr.,DE,Neck,Hip,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Marion Grice,RB,Healthy,Shoulder,,,,,,,,,
Mark Andrews,TE,Healthy,Healthy,Healthy,Healthy,Healthy,Ankle,,,,,
Mark Glowinski,OG,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Mark Nzeocha,LB,Healthy,Healthy,Healthy,Healthy,Healthy,Quadriceps,Healthy,,,,
Mark Robinson,LB,Healthy,Healthy,,,,,,,,,
Mark Walton,RB,Healthy,Healthy,,,,,,,,,
Mark Webb,DB,Knee,,Healthy,,,,,,,,
Markus Bailey,LB,Healthy,Healthy,Healthy,Healthy,,,,,,,
Markus Golden,LB,Healthy,Healthy,Knee,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Markus Wheaton,WR,Healthy,Healthy,Healthy,Shoulder,Healthy,Healthy,,,,,
Marlon Davidson,DT,Healthy,Healthy,,Healthy,,,,,,,
Marlon Humphrey,DB,Healthy,Healthy,Healthy,Healthy,Pectoral,Healthy,Healthy,,,,
Marlon Mack,RB,Healthy,Healthy,Healthy,Achilles,Healthy,Hamstring,,,,,
Marlon Tuipulotu,DT,Healthy,Knee,Healthy,,,,,,,,
Marqise Lee,WR,Healthy,Healthy,Healthy,Healthy,Knee,Shoulder,,,,,
Marquel Lee,LB,Healthy,Healthy,Ankle,,Healthy,Healthy,,,,,
Marquess Wilson,WR,Healthy,Clavicle,Foot,Foot,Healthy,,,,,,
Marqueston Huff,DB,Healthy,Healthy,Healthy,Healthy,Undisclosed,,,,,,
Marquez Stevenson,WR,Foot,,,,,,,,,,
Marquez Valdes-Scantling,WR,Healthy,Healthy,Healthy,Hamstring,Healthy,Healthy,,,,,
Marquez White,DB,Healthy,Healthy,,,,,,,,,
Marquez Williams,RB,Undisclosed,,,,,,,,,,
Marqui Christian,DB,Ankle,Shoulder,Healthy,Healthy,Healthy,Healthy,,,,,
Marquis Flowers,LB,Healthy,Shoulder,Healthy,Healthy,Healthy,Healthy,,,,,
Marquis Hayes,OG,Knee,Healthy,,,,,,,,,
Marquis Haynes,DE,Healthy,Healthy,Healthy,Healthy,Healthy,Back,,,,,
Marquis Spruill,LB,,Healthy,,,,,,,,,
Marquise Blair,DB,Healthy,Knee,Knee,Healthy,,,,,,,
Marquise Brown,WR,Healthy,Healthy,Healthy,Foot,Heel,,,,,,
Marquise Goodwin,WR,Healthy,Healthy,Ribs,Healthy,Healthy,Healthy,Knee,,Healthy,Shoulder,Healthy
Marquiss Spencer,DE,Healthy,Knee,Healthy,,,,,,,,
Marshon Lattimore,DB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Ankle,,,,
Martavis Bryant,WR,Healthy,Healthy,,Healthy,Knee,,,,,,
Marte Mapu,LB,Healthy,,,,,,,,,,
Martin Emerson,DB,Healthy,Healthy,,,,,,,,,
Martin Ifedi,DE,Healthy,Healthy,,,,,,,,,
Martinas Rankin,OG,Healthy,Knee,Healthy,,,,,,,,
Martrell Spaight,LB,Concussion,Healthy,Healthy,Healthy,,,,,,,
Marvell Tell,DB,Healthy,,Healthy,Healthy,Concussion,,,,,,
Marvin Mims,WR,Healthy,,,,,,,,,,
Mason Cole,C,Healthy,Healthy,Healthy,Elbow,Healthy,Healthy,,,,,
Mason Rudolph,QB,Healthy,Shoulder,Healthy,Healthy,Healthy,Healthy,,,,,
Mason Schreck,TE,Knee,Knee,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Matt Araiza,P,Healthy,,,,,,,,,,
Matt Barkley,QB,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,Healthy,Healthy,Healthy,Healthy,Elbow
Matt Corral,QB,Lisfranc,Healthy,,,,,,,,,
Matt Dayes,RB,Healthy,Healthy,,,,,,,,,
Matt Elam,DB,Healthy,Healthy,,Knee,,,,,,,
Matt Farniok,OG,Healthy,Hamstring,Healthy,,,,,,,,
Matt Gay,K,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Matt Hazel,WR,Healthy,Healthy,Healthy,Healthy,,,,,,,
Matt Hennessy,C,Healthy,Healthy,Knee,,,,,,,,
Matt Henningsen,DE,Healthy,Healthy,,,,,,,,,
Matt Ioannidis,DT,Healthy,Healthy,Healthy,Healthy,Biceps,Healthy,Healthy,,,,
Matt Jones,RB,Healthy,Healthy,Healthy,Healthy,,,,,,,
Matt Judon,LB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Biceps,,,
Matt Milano,LB,Healthy,Leg,Healthy,Pectoral,Healthy,Healthy,Leg,,,,
Matt Paradis,C,Healthy,Healthy,Healthy,Healthy,Leg,Healthy,Healthy,Knee,,,
Matt Peart,OT,Healthy,Knee,Knee,Shoulder,,,,,,,
Matt Pryor,OT,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,
Matt Waletzko,OT,Shoulder,Shoulder,,,,,,,,,
Matthew Adams,LB,Healthy,Healthy,Ankle,Healthy,Calf,Healthy,,,,,
Matthew Bergeron,OT,Healthy,,,,,,,,,,
Matthew Butler,DT,Healthy,Healthy,,,,,,,,,
Matthew Wells,LB,Healthy,,,,,,,,,,
Maurice Alexander,DB,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,,,,,
Maurice Canady,DB,Hamstring,Knee,Thigh,Healthy,,Concussion,,,,,
Maurice Hurst,DT,Healthy,Healthy,Healthy,Ankle,,Pectoral,,,,,
Max Duggan,QB,Healthy,,,,,,,,,,
Max Garcia,OG,Healthy,Healthy,Healthy,Knee,Knee,Healthy,Healthy,Healthy,Healthy,,
Max Mitchell,OT,Knee,Healthy,,,,,,,,,
Max Scharping,OG,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Max Tuerk,C,Healthy,Healthy,,,,,,,,,
Max Valles,LB,Healthy,Healthy,Healthy,,,,,,,,
Maxx Crosby,DE,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Maxx Williams,TE,Healthy,Knee,Healthy,Healthy,Healthy,Ankle,Knee,Healthy,,,
Mazi Smith,DT,Healthy,,,,,,,,,,
McTelvin Agim,DT,Healthy,Healthy,Healthy,Healthy,,,,,,,
Mecole Hardman,WR,Healthy,Healthy,Healthy,Abdomen,Thumb,,,,,,
Mekhi Becton,OT,Healthy,Knee,,Healthy,,,,,,,
Mekhi Blackmon,DB,Healthy,,,,,,,,,,
Melvin Gordon,RB,Knee,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Menelik Watson,OT,Healthy,Healthy,Achilles,Healthy,Calf,,,,,,
Micah Hyde,DB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Neck,Healthy
Micah Kiser,LB,Healthy,Pectoral,Knee,Groin,,,,,,,
Micah McFadden,LB,Healthy,Healthy,,,,,,,,,
Micah Parsons,LB,Healthy,Healthy,Healthy,,,,,,,,
Michael Bennett,DT,Healthy,Calf,Pectoral,Healthy,,,,,,,
Michael Bowie,OT,Healthy,,Shoulder,,Healthy,,,,,,
Michael Buchanan,DE,Healthy,Ankle,Healthy,,,,,,,,
Michael Burton,RB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Michael Campanaro,WR,Healthy,Back,Calf,Healthy,,,,,,,
Michael Carter,DB,Healthy,Healthy,Healthy,,,,,,,,
Michael Carter,RB,Ankle,Healthy,Healthy,,,,,,,,
Michael Cox,RB,Healthy,Leg,,,,,,,,,
Michael Deiter,OG,Healthy,Healthy,Foot,Healthy,Healthy,,,,,,
Michael Dickson,P,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,
Michael Dogbe,DE,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Michael Gallup,WR,Healthy,Healthy,Healthy,Calf,Healthy,Healthy,,,,,
Michael Jackson,DB,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Michael Jordan,OG,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Michael Mauti,LB,Healthy,Knee,Healthy,Healthy,Healthy,,,,,,
Michael Mayer,TE,Toe,,,,,,,,,,
Michael Ojemudia,DB,Healthy,Hamstring,Elbow,Healthy,,,,,,,
Michael Onwenu,OG,Healthy,Healthy,Healthy,Healthy,,,,,,,
Michael Pittman,WR,Leg,Healthy,Healthy,Healthy,,,,,,,
Michael Roberts,TE,Healthy,Shoulder,Healthy,,,,,,,,
Michael Sam,DE,Healthy,,,,,,,,,,
Michael Schofield,OG,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,Healthy,
Michael Thomas,WR,Healthy,Healthy,Healthy,Healthy,Ankle,,Toe,Knee,,,
Michael Williams,TE,Hand,Healthy,Healthy,,,,,,,,
Michael Wilson,WR,Healthy,,,,,,,,,,
Michael Woods,WR,Healthy,,,,,,,,,,
Michal Menet,C,Healthy,Healthy,,,,,,,,,
Micheal Clemons,DE,Healthy,Healthy,,,,,,,,,
Mike Catapano,DE,Healthy,,Foot,Knee,Healthy,,,,,,
Mike Danna,DE,Hamstring,Healthy,Healthy,Healthy,,,,,,,
Mike Davis,RB,Hand,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Mike Edwards,DB,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Mike Evans,WR,Healthy,Healthy,Healthy,Healthy,Healthy,Hamstring,Healthy,Healthy,Healthy,Healthy,
Mike Gesicki,TE,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,
Mike Gillislee,RB,Healthy,Hamstring,Healthy,Healthy,Healthy,Healthy,,,,,
Mike Glennon,QB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Mike Hughes,DB,Knee,Neck,Neck,Healthy,Healthy,Healthy,,,,,
Mike James,RB,Ankle,Healthy,Healthy,Undisclosed,,,,,,,
Mike McGlinchey,OT,Healthy,Healthy,Healthy,Quadriceps,Healthy,Ribs,,,,,
Mike Morris,DE,Shoulder,,,,,,,,,,
Mike Strachan,WR,Healthy,Healthy,Healthy,,,,,,,,
Mike Thomas,WR,Healthy,Healthy,Groin,Healthy,Healthy,Healthy,Healthy,,,,
Mike Tyson,DB,Healthy,Knee,Undisclosed,,,,,,,,
Mike Weber,RB,Healthy,,,,,,,,,,
Mike White,QB,Healthy,Healthy,,Healthy,Healthy,Healthy,,,,,
Mike Williams,WR,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,,,,
Miles Boykin,WR,Healthy,Healthy,Hamstring,Healthy,Healthy,,,,,,
Miles Killebrew,DB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Miles Sanders,RB,Healthy,Healthy,Ankle,Healthy,Healthy,,,,,,
Milton Williams,DT,Healthy,Healthy,Healthy,,,,,,,,
Minkah Fitzpatrick,DB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,
Mitch Morse,C,Healthy,Healthy,Foot,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Mitch Wishnowsky,P,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Mitchell Trubisky,QB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Mitchell Van Dyk,OT,Healthy,Ankle,Healthy,,,,,,,,
Montae Nicholson,DB,Concussion,Healthy,Neck,,,,,,,,
Montaric Brown,DB,Healthy,Healthy,,,,,,,,,
Montee Ball,RB,Healthy,Groin,Healthy,,,,,,,,
Montez Sweat,DE,Healthy,Healthy,Jaw,Healthy,Healthy,,,,,,
Montori Hughes,DT,Knee,Healthy,Healthy,Healthy,,,,,,,
Montravius Adams,DT,Healthy,Healthy,Healthy,Toe,Healthy,Healthy,Healthy,,,,
Montrell Washington,WR,Healthy,Healthy,,,,,,,,,
Monty Rice,LB,Ankle,Achilles,Healthy,,,,,,,,
Morgan Moses,OT,Lisfranc,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Moritz Böhringer,WR,Healthy,Healthy,Healthy,Healthy,,,,,,,
Moro Ojomo,DT,Healthy,,,,,,,,,,
MyCole Pruitt,TE,Healthy,Healthy,Calf,Healthy,Healthy,Healthy,Ankle,Healthy,Healthy,,
Mychal Rivera,TE,Healthy,Healthy,Healthy,Healthy,,,,,,,
Myjai Sanders,DE,Healthy,Hand,,,,,,,,,
Mykal Walker,LB,Healthy,Healthy,Healthy,Healthy,,,,,,,
Mykkele Thompson,DB,Achilles,Knee,,,,,,,,,
Myles Garrett,DE,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Myles Gaskin,RB,Ankle,Knee,Healthy,Illness,Healthy,,,,,,
Myles Jack,LB,Healthy,Healthy,Healthy,Knee,Healthy,Healthy,Healthy,Healthy,,,
Myles Murphy,DE,Healthy,,,,,,,,,,
N'Keal Harry,WR,Ankle,Healthy,Shoulder,Ankle,Healthy,,,,,,
Nahshon Wright,DB,Healthy,Healthy,Ankle,,,,,,,,
Najee Harris,RB,Healthy,Healthy,Healthy,,,,,,,,
Nakobe Dean,LB,Healthy,Foot,,,,,,,,,
Nasir Adderley,DB,Hamstring,Healthy,Healthy,Healthy,,,,,,,
Nat Berhe,DB,Healthy,,Healthy,Healthy,Pectoral,,,,,,
Nate Davis,OG,Healthy,Healthy,Healthy,Ankle,Healthy,,,,,,
Nate Freese,K,Healthy,,,,,,,,,,
Nate Gerry,LB,Healthy,Healthy,Healthy,Ankle,,Undisclosed,,,,,
Nate Hairston,DB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Nate Hobbs,DB,Healthy,Hand,Healthy,,,,,,,,
Nate Orchard,LB,Healthy,Ankle,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Nate Palmer,LB,Healthy,Knee,Healthy,Healthy,Healthy,,,,,,
Nate Sudfeld,QB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,,,
Nathan Peterman,QB,Healthy,Healthy,Elbow,Healthy,Healthy,Healthy,Healthy,,,,
Nathan Shepherd,DT,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,
Nathan Stanley,QB,Healthy,,,,,,,,,,
Nathaniel Dell,WR,Leg,,,,,,,,,,
Natrell Jamerson,DB,Healthy,Foot,Healthy,Healthy,,,,,,,
Nazair Jones,DT,Ankle,Healthy,Knee,,,,,,,,
Nazeeh Johnson,DB,Healthy,,,,,,,,,,
Neal Sterling,TE,Healthy,Healthy,Healthy,Concussion,,,,,,,
Neil Farrell,DE,Healthy,Healthy,,,,,,,,,
Neiron Ball,LB,Knee,Undisclosed,,,,,,,,,
Nelson Agholor,WR,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Nesta Jade Silvera,DT,Healthy,,,,,,,,,,
Netane Muti,OG,Healthy,Healthy,Healthy,Healthy,,,,,,,
Neville Gallimore,DT,Healthy,Elbow,Healthy,Healthy,,,,,,,
Nevin Lawson,DB,Toe,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Nic Jones,DB,Healthy,,,,,,,,,,
Nicholas Petit-Frere,OT,Healthy,Shoulder,,,,,,,,,
Nicholas Williams,DE,Knee,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Biceps,Healthy
Nick Allegretti,OG,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Nick Bawden,RB,,Knee,,Healthy,,Healthy,,,,,
Nick Bolton,LB,Healthy,Healthy,Wrist,,,,,,,,
Nick Bosa,DE,Healthy,Knee,Healthy,Healthy,Healthy,,,,,,
Nick Boyle,TE,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,Knee,Healthy,,,
Nick Broeker,OG,Healthy,,,,,,,,,,
Nick Chubb,RB,Healthy,Healthy,Knee,Healthy,Healthy,Knee,,,,,
Nick Cross,DB,Healthy,Healthy,,,,,,,,,
Nick Hampton,LB,Healthy,,,,,,,,,,
Nick Harris,C,Knee,Hamstring,Knee,Healthy,,,,,,,
Nick Herbig,LB,Healthy,,,,,,,,,,
Nick Kasa,TE,Healthy,Knee,,,,,,,,,
Nick Kwiatkoski,LB,Healthy,Healthy,Healthy,Healthy,Healthy,Ankle,Healthy,Healthy,,,
Nick Martin,C,,Ankle,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Nick Moody,LB,Hand,Healthy,Hamstring,Healthy,,,,,,,
Nick Muse,TE,Healthy,Healthy,,,,,,,,,
Nick Nelson,DB,Healthy,Knee,,,,,,,,,
Nick Niemann,LB,Healthy,Healthy,Healthy,,,,,,,,
Nick O'Leary,TE,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Nick Saldiveri,OG,Shoulder,,,,,,,,,,
Nick Scott,DB,Healthy,Healthy,Healthy,Shoulder,Healthy,,,,,,
Nick Vannett,TE,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,Healthy,Healthy,,,
Nick Vigil,LB,Healthy,Ankle,Healthy,Healthy,Healthy,Healthy,Hamstring,Healthy,,,
Nick Zakelj,OT,Healthy,Biceps,,,,,,,,,
Nico Collins,WR,Shoulder,Foot,Healthy,,,,,,,,
Nico Johnson,LB,Healthy,Healthy,Healthy,,,,,,,,
Nico Siragusa,OG,,Healthy,Healthy,,,,,,,,
Nik Bonitto,LB,Healthy,Healthy,,,,,,,,,
Noah Brown,WR,Healthy,Hamstring,,Healthy,Groin,Healthy,Groin,,,,
Noah Fant,TE,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Noah Gray,TE,Healthy,Healthy,Healthy,,,,,,,,
Noah Igbinoghene,DB,Healthy,Healthy,Healthy,Healthy,,,,,,,
Noah Sewell,LB,Healthy,,,,,,,,,,
Noah Spence,DE,Healthy,Shoulder,Healthy,Healthy,,Healthy,Healthy,,,,
Nolan Smith,LB,Healthy,,,,,,,,,,
Nyheim Hines,RB,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
O'Cyrus Torrence,OG,Healthy,,,,,,,,,,
O.J. Howard,TE,Ankle,Foot,Healthy,Achilles,Healthy,Healthy,,,,,
Obi Melifonwu,DB,Ankle,Undisclosed,Healthy,,,,,,,,
Obum Gwacham,DL,Healthy,Undisclosed,Healthy,Healthy,,,,,,,
Ochaun Mathis,LB,Knee,,,,,,,,,,
Oday Aboushi,OG,Healthy,Healthy,Healthy,Healthy,Shoulder,Healthy,Healthy,Healthy,Knee,Healthy,
Odell Beckham Jr.,WR,Healthy,Healthy,Healthy,Ankle,Healthy,Healthy,Knee,Healthy,,Healthy,
Ogbonnia Okoronkwo,DE,Foot,Healthy,Elbow,Shoulder,Healthy,Healthy,,,,,
Olabisi Johnson,WR,Healthy,Healthy,,Knee,,,,,,,
Olisaemeka Udoh,OG,Healthy,Healthy,Healthy,Healthy,Quadriceps,,,,,,
Olusegun Oluwatimi,C,Healthy,,,,,,,,,,
Oren Burks,LB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,
Orlando Brown,OT,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,
Osa Odighizuwa,DT,Healthy,Healthy,Healthy,,,,,,,,
Oshane Ximines,LB,Healthy,Shoulder,Healthy,Healthy,Healthy,,,,,,
Otito Ogbonnia,DT,Knee,Knee,,,,,,,,,
Owamagbe Odighizuwa,DE,Hamstring,Healthy,Healthy,,,,,,,,
Owen Pappoe,LB,Healthy,,,,,,,,,,
P.J. Hall,DT,Healthy,Healthy,Pectoral,,,,,,,,
P.J. Williams,DB,,Concussion,Healthy,Healthy,Healthy,Healthy,Healthy,Quadriceps,,,
PJ Johnson,DT,Healthy,,Healthy,,,,,,,,
Paris Johnson,OT,Healthy,,,,,,,,,,
Parker Ehinger,OG,Knee,Healthy,Knee,Shoulder,,Healthy,,,,,
Parker Washington,WR,Knee,,,,,,,,,,
Parris Campbell,WR,Foot,Knee,Foot,Healthy,Healthy,,,,,,
Parry Nickerson,DB,Healthy,Healthy,Hamstring,Healthy,Healthy,Healthy,,,,,
Pat Elflein,C,Healthy,Healthy,Healthy,Undisclosed,Hamstring,Hip,Undisclosed,,,,
Pat Freiermuth,TE,Healthy,Healthy,Hamstring,,,,,,,,
Pat O'Connor,DE,Healthy,Healthy,Healthy,Healthy,Knee,Healthy,Healthy,,,,
Pat O'Donnell,P,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Patrick Johnson,LB,Healthy,Healthy,Healthy,,,,,,,,
Patrick Jones,LB,Healthy,Healthy,Healthy,,,,,,,,
Patrick Mahomes,QB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Patrick Queen,LB,Healthy,Healthy,Healthy,Healthy,,,,,,,
Patrick Surtain,DB,Calf,Healthy,Healthy,,,,,,,,
Paul Dawson,LB,Healthy,Healthy,Healthy,,,,,,,,
Paul Perkins,RB,Healthy,Healthy,,Healthy,,,,,,,
Paul Richardson,WR,Knee,Knee,Healthy,Healthy,Shoulder,Hamstring,,,,,
Paulson Adebo,DB,Healthy,Healthy,Healthy,,,,,,,,
Paxton Lynch,QB,Healthy,Healthy,Healthy,Healthy,,,,,,,
Payne Durham,TE,Healthy,,,,,,,,,,
Payton Turner,DE,Shoulder,Healthy,Toe,,,,,,,,
Penei Sewell,OT,Healthy,Healthy,Healthy,,,,,,,,
Percy Butler,DB,Healthy,Wrist,,,,,,,,,
Perrion Winfrey,DT,Healthy,Healthy,,,,,,,,,
Pete Werner,LB,Healthy,Healthy,Healthy,,,,,,,,
Peter Kalambayi,LB,Healthy,Healthy,Healthy,Healthy,,,,,,,
Peter Skoronski,OT,Healthy,,,,,,,,,,
Pharoh Cooper,WR,Healthy,Healthy,Ankle,Healthy,Healthy,Healthy,Healthy,,,,
Phidarian Mathis,DT,Knee,Calf,,,,,,,,,
Phil Haynes,OG,Hernia,Undisclosed,Healthy,Healthy,Toe,,,,,,
Phil Hoskins,DT,Healthy,Healthy,Healthy,,,,,,,,
Phillip Dorsett,WR,Healthy,Healthy,Healthy,Healthy,Healthy,,Ankle,Healthy,Healthy,,
Phillip Gaines,DB,Healthy,Knee,Healthy,Elbow,Healthy,Concussion,Healthy,,,,
Phillip Thomas,DB,Lisfranc,Healthy,Healthy,,,,,,,,
Pierre Desir,DB,Healthy,Healthy,Healthy,Pectoral,Healthy,Healthy,Healthy,Healthy,,,
Pierre Strong,RB,Healthy,Healthy,,,,,,,,,
Pita Taumoepenu,LB,Healthy,Healthy,Hamstring,Healthy,Healthy,,,,,,
Pressley Harvin,P,Healthy,Healthy,Healthy,,,,,,,,
Preston Brown,LB,Healthy,Healthy,Healthy,Healthy,Ankle,Healthy,,,,,
Preston Smith,LB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Prince Charles Iworah,DB,Healthy,Undisclosed,Healthy,,,,,,,,
Prince Shembo,LB,Healthy,,,,,,,,,,
