,page,transdate,team,transaction
25964,/players/deonte-brown-brownde16,2021-05-13,Carolina (NFL),Signed
25963,/players/deonte-brown-brownde16,2021-10-16,Carolina (NFL),Placed on Injured Reserve (Knee)
25962,/players/deonte-brown-brownde16,2021-11-10,Carolina (NFL),Designated for return from Injured Reserve
25961,/players/deonte-brown-brownde16,2021-11-30,Carolina (NFL),Activated from Injured Reserve
25960,/players/deonte-brown-brownde16,2022-08-30,Carolina (NFL),Waived
25959,/players/deonte-brown-brownde16,2022-08-31,Carolina (NFL),Signed to the Practice Squad
25958,/players/deonte-brown-brownde16,2023-01-09,Carolina (NFL),Signed to a future contract
25957,/players/deonte-brown-brownde16,2023-08-29,Carolina (NFL),Waived
25956,/players/deonte-brown-brownde16,2023-08-30,Carolina (NFL),Signed to the Practice Squad
25955,/players/deonte-brown-brownde16,2023-11-14,Carolina (NFL),Released from the Practice Squad
25954,/players/deonte-brown-brownde16,2023-11-30,Carolina (NFL),Signed to the Practice Squad
25953,/players/deonte-brown-brownde16,2024-01-06,Carolina (NFL),Signed to the Active Roster from the Practice Squad
25952,/players/deonte-brown-brownde16,2024-01-08,Carolina (NFL),Returned to the Practice Squad
25951,/players/deonte-brown-brownde16,2024-01-19,Birmingham (UFL),Signed
25950,/players/deonte-brown-brownde16,2024-03-31,Birmingham (UFL),Placed on Injured Reserve
13191,/players/derek-barnett-barnede04,2017-06-01,Philadelphia (NFL),Signed
13190,/players/derek-barnett-barnede04,2018-10-25,Philadelphia (NFL),Placed on Injured Reserve (Shoulder)
13189,/players/derek-barnett-barnede04,2021-12-27,Philadelphia (NFL),Placed on COVID-19 List
13188,/players/derek-barnett-barnede04,2022-01-01,Philadelphia (NFL),Activated from the Reserve/COVID-19 List
13187,/players/derek-barnett-barnede04,2022-03-24,Philadelphia (NFL),Re-signed
13186,/players/derek-barnett-barnede04,2022-09-13,Philadelphia (NFL),Placed on Injured Reserve (Knee)
13185,/players/derek-barnett-barnede04,2023-11-24,Philadelphia (NFL),Waived
13184,/players/derek-barnett-barnede04,2023-11-27,Houston (NFL),Acquired via waivers (from the Philadelphia Eagles)
13183,/players/derek-barnett-barnede04,2024-04-01,Houston (NFL),Re-signed
3294,/players/derek-carr-carrde03,2014-05-21,Oakland (NFL),Signed
3293,/players/derek-carr-carrde03,2023-02-14,Las Vegas (NFL),Released
3292,/players/derek-carr-carrde03,2023-03-13,New Orleans (NFL),Signed
27891,/players/derek-parish-parisde01,2023-05-12,Jacksonville (NFL),Signed
27890,/players/derek-parish-parisde01,2023-08-29,Jacksonville (NFL),Waived
27889,/players/derek-parish-parisde01,2023-08-30,Jacksonville (NFL),Signed to the Practice Squad
27888,/players/derek-parish-parisde01,2023-10-16,Jacksonville (NFL),Released from the Practice Squad
27887,/players/derek-parish-parisde01,2024-01-22,Toronto (CFL),Signed
13978,/players/derek-rivers-riverde01,2017-06-08,New England (NFL),Signed
13977,/players/derek-rivers-riverde01,2017-09-02,New England (NFL),Placed on Injured Reserve (Knee)
13976,/players/derek-rivers-riverde01,2019-08-31,New England (NFL),Placed on Injured Reserve (Undisclosed)
13975,/players/derek-rivers-riverde01,2020-10-17,New England (NFL),Placed on COVID-19 List
13974,/players/derek-rivers-riverde01,2020-10-21,New England (NFL),Activated from the Reserve/COVID-19 List
13973,/players/derek-rivers-riverde01,2020-11-21,New England (NFL),Waived
13972,/players/derek-rivers-riverde01,2020-11-24,LA Rams (NFL),Acquired via waivers (from the New England Patriots)
13971,/players/derek-rivers-riverde01,2021-03-23,Houston (NFL),Signed
13970,/players/derek-rivers-riverde01,2021-08-31,Houston (NFL),Released
13969,/players/derek-rivers-riverde01,2021-09-01,Houston (NFL),Signed to the Practice Squad
13968,/players/derek-rivers-riverde01,2021-11-20,Houston (NFL),Signed to the Active Roster from the Practice Squad
13967,/players/derek-rivers-riverde01,2021-11-22,Houston (NFL),Returned to the Practice Squad
13966,/players/derek-rivers-riverde01,2021-11-24,Houston (NFL),Signed to the Active Roster from the Practice Squad
13965,/players/derek-rivers-riverde01,2021-12-20,Houston (NFL),Placed on COVID-19 List
13964,/players/derek-rivers-riverde01,2021-12-29,Houston (NFL),Activated from the Reserve/COVID-19 List
13963,/players/derek-rivers-riverde01,2022-08-30,Houston (NFL),Placed on Injured Reserve (Biceps)
13962,/players/derek-rivers-riverde01,2023-03-16,Houston (NFL),Re-signed
13960,/players/derek-rivers-riverde01,2023-08-30,Houston (NFL),Released
13961,/players/derek-rivers-riverde01,2023-08-30,Houston (NFL),Signed to the Practice Squad
13959,/players/derek-rivers-riverde01,2023-09-12,Houston (NFL),Signed to the Active Roster from the Practice Squad
13958,/players/derek-rivers-riverde01,2023-09-16,Houston (NFL),Released
13957,/players/derek-rivers-riverde01,2023-09-18,Houston (NFL),Signed to the Practice Squad
13956,/players/derek-rivers-riverde01,2023-09-21,Houston (NFL),Signed to the Active Roster from the Practice Squad
13955,/players/derek-rivers-riverde01,2023-09-29,Houston (NFL),Released
13954,/players/derek-rivers-riverde01,2023-09-30,Houston (NFL),Signed to the Practice Squad
13953,/players/derek-rivers-riverde01,2023-10-04,Houston (NFL),Signed to the Active Roster from the Practice Squad
13952,/players/derek-rivers-riverde01,2023-10-06,Houston (NFL),Released
13951,/players/derek-rivers-riverde01,2023-10-07,Houston (NFL),Signed to the Practice Squad
13950,/players/derek-rivers-riverde01,2023-11-01,Houston (NFL),Released from the Practice Squad
13949,/players/derek-rivers-riverde01,2023-12-07,Indianapolis (NFL),Signed to the Practice Squad
13948,/players/derek-rivers-riverde01,2023-12-15,Indianapolis (NFL),Placed on the Practice Squad/Injured List
26618,/players/derek-stingley-stingde01,2022-05-13,Houston (NFL),Signed
26617,/players/derek-stingley-stingde01,2022-12-17,Houston (NFL),Placed on Injured Reserve (Hamstring)
26616,/players/derek-stingley-stingde01,2023-09-23,Houston (NFL),Placed on Injured Reserve (Hamstring)
26615,/players/derek-stingley-stingde01,2023-11-08,Houston (NFL),Designated for return from Injured Reserve
26614,/players/derek-stingley-stingde01,2023-11-11,Houston (NFL),Activated from Injured Reserve
12210,/players/derek-watt-wattde01,2016-05-10,San Diego (NFL),Signed
12209,/players/derek-watt-wattde01,2020-03-26,Pittsburgh (NFL),Signed
27533,/players/derick-hall-hallde06,2023-06-07,Seattle (NFL),Signed
27227,/players/derion-kendrick-kendrde01,2022-06-06,LA Rams (NFL),Signed
27649,/players/derius-davis-davisde11,2023-05-12,LA Chargers (NFL),Signed
24920,/players/derrek-tuszka-tuszkde01,2020-07-28,Denver (NFL),Signed
24919,/players/derrek-tuszka-tuszkde01,2020-09-05,Denver (NFL),Waived
24918,/players/derrek-tuszka-tuszkde01,2020-09-06,Denver (NFL),Signed to the Practice Squad
24917,/players/derrek-tuszka-tuszkde01,2020-09-14,Denver (NFL),Signed to the Active Roster from the Practice Squad
24916,/players/derrek-tuszka-tuszkde01,2020-09-15,Denver (NFL),Returned to the Practice Squad
24915,/players/derrek-tuszka-tuszkde01,2020-09-19,Denver (NFL),Signed to the Active Roster from the Practice Squad
24914,/players/derrek-tuszka-tuszkde01,2020-09-21,Denver (NFL),Returned to the Practice Squad
24913,/players/derrek-tuszka-tuszkde01,2020-09-30,Denver (NFL),Signed to the Active Roster from the Practice Squad
24912,/players/derrek-tuszka-tuszkde01,2020-10-27,Denver (NFL),Placed on Injured Reserve (Hamstring)
24911,/players/derrek-tuszka-tuszkde01,2020-12-09,Denver (NFL),Designated for return from Injured Reserve
24910,/players/derrek-tuszka-tuszkde01,2020-12-12,Denver (NFL),Activated from Injured Reserve
24909,/players/derrek-tuszka-tuszkde01,2021-08-31,Denver (NFL),Waived
24908,/players/derrek-tuszka-tuszkde01,2021-09-06,Pittsburgh (NFL),Signed to the Practice Squad
24907,/players/derrek-tuszka-tuszkde01,2021-09-25,Pittsburgh (NFL),Signed to the Active Roster from the Practice Squad
24906,/players/derrek-tuszka-tuszkde01,2021-09-27,Pittsburgh (NFL),Returned to the Practice Squad
24905,/players/derrek-tuszka-tuszkde01,2021-09-28,Pittsburgh (NFL),Signed to the Active Roster from the Practice Squad
24904,/players/derrek-tuszka-tuszkde01,2022-09-01,Pittsburgh (NFL),Waived
24903,/players/derrek-tuszka-tuszkde01,2022-09-02,Tennessee (NFL),Acquired via waivers (from the Pittsburgh Steelers)
24902,/players/derrek-tuszka-tuszkde01,2022-09-26,Tennessee (NFL),Waived
24901,/players/derrek-tuszka-tuszkde01,2022-09-27,LA Chargers (NFL),Acquired via waivers (from the Tennessee Titans)
25398,/players/derrick-barnes-barnede06,2021-06-21,Detroit (NFL),Signed
22541,/players/derrick-brown-brownde15,2020-05-13,Carolina (NFL),Signed
22540,/players/derrick-brown-brownde15,2020-12-07,Carolina (NFL),Placed on COVID-19 List
22539,/players/derrick-brown-brownde15,2020-12-11,Carolina (NFL),Activated from the Reserve/COVID-19 List
22538,/players/derrick-brown-brownde15,2021-12-18,Carolina (NFL),Placed on COVID-19 List
22537,/players/derrick-brown-brownde15,2021-12-25,Carolina (NFL),Activated from the Reserve/COVID-19 List
10114,/players/derrick-henry-henryde01,2016-05-09,Tennessee (NFL),Signed
10113,/players/derrick-henry-henryde01,2020-03-16,Tennessee (NFL),Designated as franchise player
10112,/players/derrick-henry-henryde01,2020-04-02,Tennessee (NFL),Signed
10111,/players/derrick-henry-henryde01,2021-11-01,Tennessee (NFL),Placed on Injured Reserve (Foot)
10110,/players/derrick-henry-henryde01,2022-01-05,Tennessee (NFL),Designated for return from Injured Reserve
10109,/players/derrick-henry-henryde01,2022-01-21,Tennessee (NFL),Activated from Injured Reserve
10108,/players/derrick-henry-henryde01,2024-03-14,Baltimore (NFL),Signed
