player,1,2,3,4,5,6,7,8,9
Carlos Basham,Healthy,,,,,,,,
Carlos Davis,Healthy,Knee,,,,,,,
Carlos Henderson,Thumb,Healthy,Healthy,Healthy,Healthy,,,,
Carlos Hyde,Healthy,Foot,Knee,Healthy,Healthy,Healthy,Healthy,Concussion,
Carlos Watkins,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Carlton Davis,Healthy,Healthy,Healthy,Quadriceps,,,,,
Carson Wentz,Healthy,Knee,Healthy,Healthy,Healthy,Healthy,,,
Carter Bykowski,,Healthy,Pectoral,Healthy,Healthy,Healthy,Healthy,Healthy,
Carter Coughlin,Healthy,Ankle,,,,,,,
Casey Toohill,Healthy,Healthy,,,,,,,
Cassh Maluia,Healthy,Healthy,,,,,,,
Cassius Marsh,Foot,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,
Cedric Ogbuehi,Healthy,Shoulder,Healthy,Healthy,Healthy,Healthy,Biceps,,
Cedric Thompson,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Cedrick Wilson,Shoulder,Knee,Healthy,Healthy,,,,,
CeeDee Lamb,Healthy,Healthy,,,,,,,
Cesar Ruiz,Healthy,Healthy,,,,,,,
Chad Hansen,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Chad Kelly,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Chad Thomas,Healthy,Healthy,Healthy,Healthy,,,,,
Chad Williams,Healthy,Healthy,Healthy,Undisclosed,Hamstring,,,,
Chance Warmack,,Healthy,Healthy,Finger,Healthy,Healthy,Healthy,Healthy,
Chandler Cox,Healthy,Healthy,Healthy,,,,,,
Chapelle Russell,Healthy,Healthy,,,,,,,
Charles Gaines,Designated for Return,Healthy,Eye,Healthy,Healthy,Healthy,Healthy,,
Charles Harris,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Charles Johnson,,Healthy,Healthy,Healthy,Knee,Healthy,Ankle,Healthy,
Charles Leno,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Charles Omenihu,Healthy,Healthy,Healthy,,,,,,
Charles Sims,Designated for Return,Healthy,Knee,Healthy,Knee,Healthy,Healthy,Healthy,
Charles Tapper,Back,Foot,Healthy,Healthy,Healthy,Healthy,,,
Charlie Heck,Healthy,Healthy,,,,,,,
Charlie Woerner,Healthy,Healthy,,,,,,,
Charone Peake,Healthy,Ankle,Healthy,Healthy,Healthy,Healthy,,,
Chase Claypool,Healthy,Healthy,,,,,,,
Chase Edmonds,Healthy,Healthy,Healthy,Ankle,,,,,
Chase Roullier,Healthy,Healthy,Healthy,Healthy,Leg,,,,
Chase Winovich,Healthy,Healthy,Hamstring,,,,,,
Chase Young,Healthy,Knee,,,,,,,
Chatarius Atwell,Shoulder,,,,,,,,
Chauncey Gardner-Johnson,Healthy,Healthy,Foot,,,,,,
Chauncey Golston,Healthy,,,,,,,,
Chaz Green,Hip,Back,Healthy,Healthy,Healthy,Healthy,Healthy,,
Chazz Surratt,Healthy,,,,,,,,
Chidobe Awuzie,Healthy,Healthy,Healthy,Hamstring,Healthy,,,,
Chris Borland,Ankle,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Chris Carson,Leg,Healthy,Hip,Healthy,Neck,,,,
Chris Claybrooks,Groin,Healthy,,,,,,,
Chris Conley,Healthy,Healthy,Achilles,Healthy,Healthy,Healthy,Healthy,,
Chris Covington,Healthy,Healthy,Healthy,Healthy,,,,,
Chris Evans,Healthy,,,,,,,,
Chris Garrett,Healthy,,,,,,,,
Chris Godwin,Healthy,Healthy,Healthy,Healthy,Knee,,,,
Chris Gragg,,Healthy,Healthy,Knee,Ankle,Healthy,Healthy,Healthy,
Chris Harper,,Healthy,Undisclosed,Healthy,Healthy,Healthy,Healthy,Healthy,
Chris Herndon IV,Healthy,Ribs,Healthy,Healthy,,,,,
Chris Jackson,Healthy,Foot,,,,,,,
Chris Jones,Healthy,Healthy,Ankle,Healthy,Undisclosed,Healthy,Healthy,Healthy,
Chris Lindstrom,Foot,Healthy,Healthy,,,,,,
Chris Moore,Healthy,Healthy,Healthy,Healthy,Thigh,Healthy,,,
Chris Rumph,Healthy,,,,,,,,
Chris Slayton,Healthy,Healthy,Healthy,,,,,,
Chris Smith,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Chris Thompson,,Healthy,Healthy,Healthy,Leg,Healthy,Healthy,Back,
Chris Watt,Healthy,Shoulder,Knee,Healthy,Healthy,Healthy,Healthy,Healthy,
Chris Wilcox,Healthy,,,,,,,,
Chris Williamson,Healthy,Healthy,,,,,,,
Chris Wormley,Healthy,Healthy,Healthy,Knee,Healthy,,,,
Christian Barmore,Healthy,,,,,,,,
Christian Bryant,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Christian Campbell,Healthy,Undisclosed,Healthy,Healthy,,,,,
Christian Covington,Healthy,Healthy,Biceps,Healthy,Healthy,Healthy,Healthy,,
Christian Darrisaw,Healthy,,,,,,,,
Christian Hackenberg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Christian Kirk,Foot,Healthy,Healthy,Healthy,,,,,
